ami_,failure_scenarios,description,relevant_vulnerabilities,impacts,potential_mitigations,nist_csf_subcategory,domain,source_file,scenario_raw,scenario_id,csf_subcategory,nist_function,der_,dgm_
1.0,Authorized Employee Issues Unauthorized Mass Remote Disconnect,"An employee within the utility having valid authorization, issues a “remote disconnect” command to a large number of meters. The employee may be bribed, disgruntled, or socially engineered",V1A) System permits potentially harmful command sequences such as a sufficiently large number of disconnects that may threaten system balance,"I1A) An instantaneous mass disconnect/reconnect over multiple feeders, if permitted by the system, could cause temporary blackouts due to circuit breaker trips until power on the grid can be rebalanced",M1A) Detect anomalous commands (anomalous disconnect and reconnect commands) not stemming from the normal Customer Information System (CIS) system,"DE.AE-5: Incident alert thresholds are established
DE.CM-1: The network is monitored to detect potential cybersecurity events
DE.AE-1: A baseline of network operations and expected data flows for users and systems is established and managed


",AMI,ami.csv,,1,"DE.AE-5: Incident alert thresholds are established
DE.CM-1: The network is monitored to detect potential cybersecurity events
DE.AE-1: A baseline of network operations and expected data flows for users and systems is established and managed


",DE,,
,,,,I1B) A small number of disconnects could subvert the smart grid deployment and make the utility lose consumer confidence,M1B) Use Role-Based Access Control (RBAC) to limit who has access to sensitive functions,"PR.AC-4: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties",AMI,ami.csv,,2,"PR.AC-4: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties",PR,,
,,,,,M1C) Validate data to ensure reasonableness of changes,"PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity
PR.IP-3: Configuration change control processes are in place",AMI,ami.csv,,3,"PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity
PR.IP-3: Configuration change control processes are in place",PR,,
,,,,,M1D) Generate alarms for changes to sensitive data,"DE.AE-5: Incident alert thresholds are established
DE.CM-1: The network is monitored to detect potential cybersecurity events
PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity",AMI,ami.csv,,4,"DE.AE-5: Incident alert thresholds are established
DE.CM-1: The network is monitored to detect potential cybersecurity events
PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity",DE,,
,,,,,"M1E) Create audit logs to track who has made system configuration, software, or database additions or modifications","PR.PT-1: Audit/log records are determined, documented, implemented, and reviewed in accordance with policy",AMI,ami.csv,,5,"PR.PT-1: Audit/log records are determined, documented, implemented, and reviewed in accordance with policy",PR,,
,,,,,"M1F) Require two-person rule for single transactions that initiate mass disconnects (e.g., substation feeder, all meters listening to a given aggregation point, geographic region, etc.)","PR.AC-4: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties
PR.IP-1: A baseline configuration of information technology/industrial control systems is created and maintained incorporating security principles (e.g. concept of least functionality)",AMI,ami.csv,,6,"PR.AC-4: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties
PR.IP-1: A baseline configuration of information technology/industrial control systems is created and maintained incorporating security principles (e.g. concept of least functionality)",PR,,
,,,,,M1G) Limit events to no more than (n) number of disconnects (using any number of transactions) within a specified time period,PR.IP-1: A baseline configuration of information technology/industrial control systems is created and maintained incorporating security principles (e.g. concept of least functionality),AMI,ami.csv,,7,PR.IP-1: A baseline configuration of information technology/industrial control systems is created and maintained incorporating security principles (e.g. concept of least functionality),PR,,
,,,,,M1H) Require two-person rule for greater than (n) number of disconnects within a specified time,"PR.AC-4: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties
PR.IP-1: A baseline configuration of information technology/industrial control systems is created and maintained incorporating security principles (e.g. concept of least functionality)",AMI,ami.csv,,8,"PR.AC-4: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties
PR.IP-1: A baseline configuration of information technology/industrial control systems is created and maintained incorporating security principles (e.g. concept of least functionality)",PR,,
,,,,,M1I) Cross check with the billing system to ensure the customer has the appropriate status before the disconnect command is issued,"PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity
",AMI,ami.csv,,9,"PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity
",PR,,
2.0,Authorized Employee Manipulates MDMS Data to Over/Under Charge,"The Meter Data Management System (MDMS) is accessed by an employee (coerced or disgruntled) who selects a few accounts to overcharge or undercharge. This could be done by altering usage or pricing data. It may also be accomplished using malware. When the bills are paid, either the utility receives more or less revenue. An audit uncovering this activity could cause embarrassment or financial burden to the utility",V2A) System permits unauthorized changes to Meter Data Management System (MDMS) user billing data,I2A) Utility may be liable for mischarging customers,"M2A) Detect unusual patterns of energy usage (all utilities have some type of revenue protection scheme, but these may not be adequate)","DE.AE-5: Incident alert thresholds are established
DE.AE-1: A baseline of network operations and expected data flows for users and systems is established and managed
DE.CM-1: The network is monitored to detect potential cybersecurity events
",AMI,ami.csv,,10,"DE.AE-5: Incident alert thresholds are established
DE.AE-1: A baseline of network operations and expected data flows for users and systems is established and managed
DE.CM-1: The network is monitored to detect potential cybersecurity events
",DE,,
,,,V2B) System assumes data inputs and resulting calculations are accurate for customer energy billing calculations in the Meter Data Management System (MDMS),I2B) Utilities will have to correct billing errors.,M2B) Use RBAC to limit access to sensitive functions,"PR.AC-4: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties",AMI,ami.csv,,11,"PR.AC-4: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties",PR,,
,,,V2C) System permits installation of malware* on the MDMS,,M2C) Validate data to ensure reasonableness for changes,"PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity
PR.IP-3: Configuration change control processes are in place",AMI,ami.csv,,12,"PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity
PR.IP-3: Configuration change control processes are in place",PR,,
,,,,,M2D) Generate alarms on changes to sensitive data,"DE.AE-5: Incident alert thresholds are established
DE.CM-1: The network is monitored to detect potential cybersecurity events
PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity
PR.IP-3: Configuration change control processes are in place",AMI,ami.csv,,13,"DE.AE-5: Incident alert thresholds are established
DE.CM-1: The network is monitored to detect potential cybersecurity events
PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity
PR.IP-3: Configuration change control processes are in place",DE,,
,,,,,M2E) Create audit logs of who has made software or database modifications,"PR.PT-1: Audit/log records are determined, documented, implemented, and reviewed in accordance with policy",AMI,ami.csv,,14,"PR.PT-1: Audit/log records are determined, documented, implemented, and reviewed in accordance with policy",PR,,
,,,,,"M2F) Check software execution integrity, since software may be compromised when loaded for execution","PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity",AMI,ami.csv,,15,"PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity",PR,,
,,,,,M2G) Detect abnormal output (unexpected data or destinations) in billing and AMI system network traffic,"DE.AE-1: A baseline of network operations and expected data flows for users and systems is established and managed
DE.CM-1: The network is monitored to detect potential cybersecurity events
DE.AE-5: Incident alert thresholds are established
",AMI,ami.csv,,16,"DE.AE-1: A baseline of network operations and expected data flows for users and systems is established and managed
DE.CM-1: The network is monitored to detect potential cybersecurity events
DE.AE-5: Incident alert thresholds are established
",DE,,
,,,,,M2H) Perform financial audit to check for unexpected results,ID.GV-4: Governance and risk management processes address cybersecurity risks,AMI,ami.csv,,17,ID.GV-4: Governance and risk management processes address cybersecurity risks,ID,,
,,,,,M2I) Implement configuration management,PR.IP-3: Configuration change control processes are in place,AMI,ami.csv,,18,PR.IP-3: Configuration change control processes are in place,PR,,
,,,,,M2J) Restrict physical access,PR.AC-2: Physical access to assets is managed and protected,AMI,ami.csv,,19,PR.AC-2: Physical access to assets is managed and protected,PR,,
,,,,,M2K) Train personnel regarding need to lock unattended workstations,PR.AT-1: All users are informed and trained ,AMI,ami.csv,,20,PR.AT-1: All users are informed and trained ,PR,,
,,,,,M2L) Detect physical intrusion with the use of video surveillance,"DE.CM-2: The physical environment is monitored to detect potential cybersecurity events

",AMI,ami.csv,,21,"DE.CM-2: The physical environment is monitored to detect potential cybersecurity events

",DE,,
,,,,,M2M) Lock workstations when workstations are unattended,"PR.AC-2: Physical access to assets is managed and protected
PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)",AMI,ami.csv,,22,"PR.AC-2: Physical access to assets is managed and protected
PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)",PR,,
,,,,,M2M) Check software file integrity (digital signatures or keyed hashes) to validate software or firmware updates before installation and/or during operation,"PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity",AMI,ami.csv,,23,"PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity",PR,,
3.0,Invalid Access Used to Install Malware Enabling Remote Internet Control,"A threat agent acquires physical and logical access to the utility enterprise network. The threat agent installs remote accessible malware allowing remote command and control of the AMI system accessible from any available Internet connection. Physical access may be achieved via poor locks, unlocked doors, stolen credentials, or social engineering",V3A) System permits installation of malware* on the utility enterprise network or AMI implementation,I3A) Potential remote command and control capability by a threat agent,M3A) Use RBAC to limit who has access to the AMI system and the enterprise network,"PR.AC-4: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties",AMI,ami.csv,,24,"PR.AC-4: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties",PR,,
,,,"V3B) Internet connection may be misused by adversary,* specifically the connection from the Internet to the utility enterprise network or AMI implementation can serve as a command channel for malware on the AMI system","I3B) Depending on the system’s architecture and permissions, performance of meter disconnects.",M3B) Create audit logs of who has made software additions or modifications,"PR.PT-1: Audit/log records are determined, documented, implemented, and reviewed in accordance with policy",AMI,ami.csv,,25,"PR.PT-1: Audit/log records are determined, documented, implemented, and reviewed in accordance with policy",PR,,
,,,V3C) Physical access may be obtained by unauthorized individuals to the utility enterprise network or AMI implementation,,M3C) Generate alerts when software additions or modifications have been made,"DE.AE-5: Incident alert thresholds are established
",AMI,ami.csv,,26,"DE.AE-5: Incident alert thresholds are established
",DE,,
,,,V3D) System relies on credentials that are easy to obtain for access to the utility enterprise network or AMI implementation,,"M3D) Check software execution integrity, since software may be compromised when loaded for execution","PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity",AMI,ami.csv,,27,"PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity",PR,,
,,,,,M3E) Authenticate users so that physical access to the system(s) does not automatically grant logical access,"PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)",AMI,ami.csv,,28,"PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)",PR,,
,,,,,M3F) Require multi-factor authentication to gain access to sensitive systems,"PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)",AMI,ami.csv,,29,"PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)",PR,,
,,,,,M3G) Isolate networks serving critical functionality such as control systems from the Internet,"PR.AC-5: Network integrity is protected (e.g., network segregation, network segmentation)",AMI,ami.csv,,30,"PR.AC-5: Network integrity is protected (e.g., network segregation, network segmentation)",PR,,
,,,,,"M3H) Restrict Internet access to deny controls systems networks access to or from the
Internet","PR.AC-5: Network integrity is protected (e.g., network segregation, network segmentation)
PR.PT-3: The principle of least functionality is incorporated by configuring systems to provide only essential capabilities",AMI,ami.csv,,31,"PR.AC-5: Network integrity is protected (e.g., network segregation, network segmentation)
PR.PT-3: The principle of least functionality is incorporated by configuring systems to provide only essential capabilities",PR,,
,,,,,M3I) Require video surveillance to document who enters the server room,DE.CM-2: The physical environment is monitored to detect potential cybersecurity events,AMI,ami.csv,,32,DE.CM-2: The physical environment is monitored to detect potential cybersecurity events,DE,,
,,,,,M3J) Check software file integrity (digital signatures or keyed hashes) to validate software or firmware updates before installation and/or during operation,"PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity",AMI,ami.csv,,33,"PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity",PR,,
,,,,,M3K) Restrict physical access to the utility enterprise network or AMI implementation,PR.AC-2: Physical access to assets is managed and protected,AMI,ami.csv,,34,PR.AC-2: Physical access to assets is managed and protected,PR,,
,,,,,M3L) Protect credentials for the enterprise network and/or AMI system,"PR.AC-1: Identities and credentials are issued, managed, verified, revoked, and audited for authorized devices, users and processes",AMI,ami.csv,,35,"PR.AC-1: Identities and credentials are issued, managed, verified, revoked, and audited for authorized devices, users and processes",PR,,
,,,,,M3M) Require strong passwords for the enterprise network and/or AMI system,"PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)",AMI,ami.csv,,36,"PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)",PR,,
,,,,,M3N) Restrict configuration access to limit who has access and can make configuration changes,"PR.AC-4: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties
PR.IP-3: Configuration change control processes are in place",AMI,ami.csv,,37,"PR.AC-4: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties
PR.IP-3: Configuration change control processes are in place",PR,,
4.0,Overused Key Captured on Meter Bus Enables Usage Data Manipulation,Meters are deployed with the same symmetric cryptographic key on all meters in the AMI implementation. A threat agent is able to acquire the secret encryption key after monitoring communications on the internal bus of one of these meters. The secret key is passed in the clear on the bus. Usage data is then manipulated to overstate/understate energy usage or to under/overstate energy production from Distributed Energy Resources (DERs),V4A) Secret key is stored or transmitted in the clear while in transit on the internal bus of a meter,"I4A) Continuous loss of revenue due to understated energy usage or overstated
energy production",M4A) Require approved cryptographic algorithms to protect the confidentiality of communications on the internal meter bus and the cryptographic keys,"PR.DS-2: Data-in-transit is protected
PR.PT-4: Communications and control networks are protected",AMI,ami.csv,,38,"PR.DS-2: Data-in-transit is protected
PR.PT-4: Communications and control networks are protected",PR,,
,,,V4B) Encryption keys are shared by multiple meters in an AMI implementation,"I4B) The utility may be liable for mischarging customers and may have to correct billing errors. If over-payments were received from customers, restitution would have to be paid to those customers",M4B) Require approved key management to protect the cryptographic keys,"PR.DS-1: Data-at-rest is protected
PR.DS-2: Data-in-transit is protected",AMI,ami.csv,,39,"PR.DS-1: Data-at-rest is protected
PR.DS-2: Data-in-transit is protected",PR,,
,,,,I4C) Loss of customer trust in the utility billing (negative publicity),M4C) Require unique keys (symmetric keys) for each deployed meter,"PR.IP-5: Policy and regulations regarding the physical operating environment for organizational assets are met
PR.DS-2: Data-in-transit is protected",AMI,ami.csv,,40,"PR.IP-5: Policy and regulations regarding the physical operating environment for organizational assets are met
PR.DS-2: Data-in-transit is protected",PR,,
,,,,,"M4D) Detect unusual patterns of energy usage on smart meters (all utilities have some
type of revenue protection scheme, but these may not be adequate)","DE.AE-5: Incident alert thresholds are established
DE.AE-1: A baseline of network operations and expected data flows for users and systems is established and managed
DE.CM-1: The network is monitored to detect potential cybersecurity events
",AMI,ami.csv,,41,"DE.AE-5: Incident alert thresholds are established
DE.AE-1: A baseline of network operations and expected data flows for users and systems is established and managed
DE.CM-1: The network is monitored to detect potential cybersecurity events
",DE,,
,,,,,M4E) Perform financial audit to check for unexpected results,ID.GV-4: Governance and risk management processes address cybersecurity risks,AMI,ami.csv,,42,ID.GV-4: Governance and risk management processes address cybersecurity risks,ID,,
5.0,Mass Meter Rekeying Required when Common Key Compromised,"Meters are deployed with the same symmetric cryptographic key on all meters in the AMI implementation. Key compromise occurs in the field due to the ability to extract the secret key when in physical possession of a meter, or during distribution of keys to meters. In this failure scenario, no known financial or energy usage information is actually compromised due to the compromised key, but all the meters still need to be rekeyed to mitigate the potential for future malicious activities",V5A) Encryption keys are shared by multiple meters in an AMI implementation,"I5A) Negative publicity,",M5A) Require unique keys (symmetric key) for each meter,"PR.IP-5: Policy and regulations regarding the physical operating environment for organizational assets are met
PR.DS-2: Data-in-transit is protected",AMI,ami.csv,,43,"PR.IP-5: Policy and regulations regarding the physical operating environment for organizational assets are met
PR.DS-2: Data-in-transit is protected",PR,,
,,,V5B) Secret key is stored or transmitted in the clear on the meter,I5B) Cost of rekeying meters,M5B) Require approved key management,"PR.DS-1: Data-at-rest is protected
PR.DS-2: Data-in-transit is protected",AMI,ami.csv,,44,"PR.DS-1: Data-at-rest is protected
PR.DS-2: Data-in-transit is protected",PR,,
,,,"V5C) Secret key is stored or transmitted in the clear during transit to the meter during
key distribution",,M5C) Require secure key storage on meters,"PR.IP-5: Policy and regulations regarding the physical operating environment for organizational assets are met
PR.DS-1: Data-at-rest is protected",AMI,ami.csv,,45,"PR.IP-5: Policy and regulations regarding the physical operating environment for organizational assets are met
PR.DS-1: Data-at-rest is protected",PR,,
